,Date,date_dt,location,count,month_day,year,month,location_name
187,2013-07-07 00:00:00,2013-07-07,1^ALEX,1290.0,07-07,2013,7,Alexandra Bridge
188,2013-07-08 00:00:00,2013-07-08,1^ALEX,2139.0,07-08,2013,7,Alexandra Bridge
189,2013-07-09 00:00:00,2013-07-09,1^ALEX,2191.0,07-09,2013,7,Alexandra Bridge
190,2013-07-10 00:00:00,2013-07-10,1^ALEX,1606.0,07-10,2013,7,Alexandra Bridge
191,2013-07-11 00:00:00,2013-07-11,1^ALEX,2435.0,07-11,2013,7,Alexandra Bridge
192,2013-07-12 00:00:00,2013-07-12,1^ALEX,2116.0,07-12,2013,7,Alexandra Bridge
193,2013-07-13 00:00:00,2013-07-13,1^ALEX,1867.0,07-13,2013,7,Alexandra Bridge
194,2013-07-14 00:00:00,2013-07-14,1^ALEX,1767.0,07-14,2013,7,Alexandra Bridge
195,2013-07-15 00:00:00,2013-07-15,1^ALEX,1825.0,07-15,2013,7,Alexandra Bridge
196,2013-07-16 00:00:00,2013-07-16,1^ALEX,2063.0,07-16,2013,7,Alexandra Bridge
197,2013-07-17 00:00:00,2013-07-17,1^ALEX,1755.0,07-17,2013,7,Alexandra Bridge
198,2013-07-18 00:00:00,2013-07-18,1^ALEX,1849.0,07-18,2013,7,Alexandra Bridge
199,2013-07-19 00:00:00,2013-07-19,1^ALEX,1340.0,07-19,2013,7,Alexandra Bridge
200,2013-07-20 00:00:00,2013-07-20,1^ALEX,1477.0,07-20,2013,7,Alexandra Bridge
201,2013-07-21 00:00:00,2013-07-21,1^ALEX,2397.0,07-21,2013,7,Alexandra Bridge
202,2013-07-22 00:00:00,2013-07-22,1^ALEX,2228.0,07-22,2013,7,Alexandra Bridge
203,2013-07-23 00:00:00,2013-07-23,1^ALEX,2035.0,07-23,2013,7,Alexandra Bridge
204,2013-07-24 00:00:00,2013-07-24,1^ALEX,2038.0,07-24,2013,7,Alexandra Bridge
205,2013-07-25 00:00:00,2013-07-25,1^ALEX,2397.0,07-25,2013,7,Alexandra Bridge
206,2013-07-26 00:00:00,2013-07-26,1^ALEX,2074.0,07-26,2013,7,Alexandra Bridge
207,2013-07-27 00:00:00,2013-07-27,1^ALEX,1626.0,07-27,2013,7,Alexandra Bridge
208,2013-07-28 00:00:00,2013-07-28,1^ALEX,772.0,07-28,2013,7,Alexandra Bridge
209,2013-07-29 00:00:00,2013-07-29,1^ALEX,1704.0,07-29,2013,7,Alexandra Bridge
210,2013-07-30 00:00:00,2013-07-30,1^ALEX,2530.0,07-30,2013,7,Alexandra Bridge
211,2013-07-31 00:00:00,2013-07-31,1^ALEX,2466.0,07-31,2013,7,Alexandra Bridge
212,2013-08-01 00:00:00,2013-08-01,1^ALEX,1076.0,08-01,2013,8,Alexandra Bridge
213,2013-08-02 00:00:00,2013-08-02,1^ALEX,1691.0,08-02,2013,8,Alexandra Bridge
214,2013-08-03 00:00:00,2013-08-03,1^ALEX,1403.0,08-03,2013,8,Alexandra Bridge
215,2013-08-04 00:00:00,2013-08-04,1^ALEX,1489.0,08-04,2013,8,Alexandra Bridge
216,2013-08-05 00:00:00,2013-08-05,1^ALEX,2337.0,08-05,2013,8,Alexandra Bridge
217,2013-08-06 00:00:00,2013-08-06,1^ALEX,2304.0,08-06,2013,8,Alexandra Bridge
218,2013-08-07 00:00:00,2013-08-07,1^ALEX,1768.0,08-07,2013,8,Alexandra Bridge
219,2013-08-08 00:00:00,2013-08-08,1^ALEX,2083.0,08-08,2013,8,Alexandra Bridge
220,2013-08-09 00:00:00,2013-08-09,1^ALEX,1899.0,08-09,2013,8,Alexandra Bridge
221,2013-08-10 00:00:00,2013-08-10,1^ALEX,1789.0,08-10,2013,8,Alexandra Bridge
222,2013-08-11 00:00:00,2013-08-11,1^ALEX,2161.0,08-11,2013,8,Alexandra Bridge
223,2013-08-12 00:00:00,2013-08-12,1^ALEX,2106.0,08-12,2013,8,Alexandra Bridge
224,2013-08-13 00:00:00,2013-08-13,1^ALEX,1608.0,08-13,2013,8,Alexandra Bridge
225,2013-08-14 00:00:00,2013-08-14,1^ALEX,1823.0,08-14,2013,8,Alexandra Bridge
226,2013-08-15 00:00:00,2013-08-15,1^ALEX,2307.0,08-15,2013,8,Alexandra Bridge
227,2013-08-16 00:00:00,2013-08-16,1^ALEX,1911.0,08-16,2013,8,Alexandra Bridge
228,2013-08-17 00:00:00,2013-08-17,1^ALEX,1828.0,08-17,2013,8,Alexandra Bridge
229,2013-08-18 00:00:00,2013-08-18,1^ALEX,2031.0,08-18,2013,8,Alexandra Bridge
230,2013-08-19 00:00:00,2013-08-19,1^ALEX,2031.0,08-19,2013,8,Alexandra Bridge
231,2013-08-20 00:00:00,2013-08-20,1^ALEX,2183.0,08-20,2013,8,Alexandra Bridge
232,2013-08-21 00:00:00,2013-08-21,1^ALEX,2162.0,08-21,2013,8,Alexandra Bridge
233,2013-08-22 00:00:00,2013-08-22,1^ALEX,975.0,08-22,2013,8,Alexandra Bridge
234,2013-08-23 00:00:00,2013-08-23,1^ALEX,1970.0,08-23,2013,8,Alexandra Bridge
235,2013-08-24 00:00:00,2013-08-24,1^ALEX,1552.0,08-24,2013,8,Alexandra Bridge
236,2013-08-25 00:00:00,2013-08-25,1^ALEX,1649.0,08-25,2013,8,Alexandra Bridge
237,2013-08-26 00:00:00,2013-08-26,1^ALEX,1440.0,08-26,2013,8,Alexandra Bridge
238,2013-08-27 00:00:00,2013-08-27,1^ALEX,1952.0,08-27,2013,8,Alexandra Bridge
239,2013-08-28 00:00:00,2013-08-28,1^ALEX,1843.0,08-28,2013,8,Alexandra Bridge
240,2013-08-29 00:00:00,2013-08-29,1^ALEX,2201.0,08-29,2013,8,Alexandra Bridge
241,2013-08-30 00:00:00,2013-08-30,1^ALEX,1580.0,08-30,2013,8,Alexandra Bridge
242,2013-08-31 00:00:00,2013-08-31,1^ALEX,1321.0,08-31,2013,8,Alexandra Bridge
